식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),식품중량
비빔밥,100g,128,2.98,3.98,20.05,0.73,243.0,0.0,0.6,0.03,400g
삼각김밥,100g,165,3.66,1.58,34.11,0.21,343.0,3.51,0.45,0.01,100g
새우튀김롤,100g,202,4.82,6.06,32.09,3.71,464.0,18.62,1.14,0.04,300g
쌀밥,100g,166,3.36,0.32,37.33,0.02,0.0,0.0,0.1,0.0,100g
알밥,100g,124,9.82,4.88,10.21,2.63,1032.0,143.7,0.86,0.04,355g
연어롤,100g,170,6.19,5.13,24.77,2.82,404.0,20.66,0.94,0.03,300g
연잎밥,100g,207,4.0,0.3,47.0,,178.0,,0.0,0.0,100g
오곡밥,100g,156,4.78,0.52,32.93,0.07,46.0,0.0,0.17,0.0,250g
자장밥,100g,148,3.05,4.46,24.01,1.07,312.0,5.29,1.71,0.03,500g
잡탕밥,100g,104,5.88,2.68,13.99,0.06,281.0,43.98,0.54,0.02,750g
주먹밥,100g,208,6.0,4.4,36.2,0.6,331.0,28.3,0.73,0.0,150g
짜장밥,100g,136,6.3,2.8,21.5,,325.0,,0.0,0.0,100g
초밥,100g,151,9.02,1.31,25.85,2.57,270.0,15.58,0.35,0.01,300g
허브차,100ml,0,0.0,,,0.0,0.0,,0.0,,946g
홍차,100ml,0,0.07,,,0.0,1.0,,0.0,,450g
탄산음료,100ml,18,0.0,,,4.79,0.0,,0.0,,355g
코코아,100ml,126,3.08,,,12.62,40.0,,4.31,,325g
콤부차,100ml,32,0.0,,,7.87,2.0,,0.0,,470g
커피,100ml,44,1.52,,,5.26,24.0,,1.1,,946g
에이드,100ml,19,0.03,,,4.79,0.0,,0.01,,355g
아이스티,100ml,61,0.0,,,14.31,9.0,,0.0,,450g
스무디,100ml,120,1.45,,,16.52,37.0,,4.35,,345g
식혜,100ml,48,0.16,0.05,11.69,11.17,,,0.02,,100g
쌍화차,100ml,54,0.08,,,10.53,15.0,,0.0,,360g
콩나물국,100ml,7,0.79,0.22,0.95,0.14,134.0,0.01,0.04,,320ml
감자탕,100ml,67,4.66,3.96,3.37,0.42,145.0,15.6,0.98,,420ml
김치찌개,100ml,41,3.74,1.77,2.6,1.01,266.0,7.48,0.5,,270ml
부대찌개,100ml,68,4.83,2.79,6.12,1.24,368.0,11.14,0.86,,270ml
청국장찌개,100ml,28,2.53,0.68,2.93,0.63,202.0,1.31,0.13,,340ml
콩비지찌개,100ml,41,2.7,1.15,5.17,0.66,238.0,3.47,0.27,,240ml
달걀찜,100ml,69,6.24,3.64,2.21,0.52,252.0,162.13,1.27,,180ml
닭찜,100ml,111,8.97,4.8,7.57,1.29,191.0,33.08,1.28,,370ml
돼지갈비찜,100ml,136,10.49,8.06,4.79,2.29,250.0,39.68,2.18,,340ml
가자미구이,100ml,150,14.69,7.8,3.85,0.03,291.0,63.9,1.22,,190ml
갈치구이,100ml,123,9.35,7.32,3.96,0.0,314.0,34.33,1.59,,170ml
