item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(20kg),상품,20kg,당일 (09/26),"49,833",111,04,1일전 (09/25),"49,833",1주일전 (09/19),"48,900",2주일전 (09/12),"49,456",1개월전,"39,387",1년전,"55,637",일평년,"53,213"
찹쌀,일반계(1kg),상품,1kg,당일 (09/26),"4,097",112,04,1일전 (09/25),"4,097",1주일전 (09/19),"3,930",2주일전 (09/12),"3,930",1개월전,"3,954",1년전,"3,770",일평년,"4,401"
콩,흰 콩(국산)(500g),상품,500g,당일 (09/26),"5,074",141,04,1일전 (09/25),"5,046",1주일전 (09/19),"5,053",2주일전 (09/12),"5,053",1개월전,"5,157",1년전,"4,936",일평년,"5,003"
팥,붉은 팥(국산)(500g),상품,500g,당일 (09/26),"10,506",142,04,1일전 (09/25),"10,506",1주일전 (09/19),"10,506",2주일전 (09/12),"10,506",1개월전,"10,410",1년전,"8,047",일평년,"7,640"
녹두,국산(500g),상품,500g,당일 (09/26),"12,009",143,04,1일전 (09/25),"12,009",1주일전 (09/19),"11,580",2주일전 (09/12),"11,580",1개월전,"11,716",1년전,"11,110",일평년,"10,213"
고구마,밤(1kg),상품,1kg,당일 (09/26),"5,644",151,04,1일전 (09/25),"5,348",1주일전 (09/19),"4,867",2주일전 (09/12),"5,237",1개월전,"5,579",1년전,"5,568",일평년,"5,725"
감자,수미(노지)(100g),상품,100g,당일 (09/26),298,152,04,1일전 (09/25),298,1주일전 (09/19),299,2주일전 (09/12),289,1개월전,317,1년전,341,일평년,318
메밀,메밀(수입)(1kg),중품,1kg,당일 (09/26),"2,950",144,05,1일전 (09/25),"2,950",1주일전 (09/19),"3,000",2주일전 (09/12),"3,000",1개월전,"3,460",1년전,"3,867",일평년,"3,770"
배추,여름(고랭지)(1포기),상품,1포기,당일 (09/26),"9,250",211,04,1일전 (09/25),"9,275",1주일전 (09/19),"8,958",2주일전 (09/12),"7,724",1개월전,"7,133",1년전,"6,193",일평년,"7,217"
고랭지배추,여름(고랭지)(1포기),상품,1포기,당일 (09/26),"9,250",211,04,1일전 (09/25),"9,275",1주일전 (09/19),"8,958",2주일전 (09/12),"7,724",1개월전,"7,133",1년전,"6,193",일평년,"7,217"
양배추,양배추(1포기),상품,1포기,당일 (09/26),"4,254",212,04,1일전 (09/25),"4,214",1주일전 (09/19),"3,980",2주일전 (09/12),"3,602",1개월전,"4,345",1년전,"5,365",일평년,"4,253"
시금치,시금치(100g),상품,100g,당일 (09/26),"2,917",213,04,1일전 (09/25),"3,070",1주일전 (09/19),"3,730",2주일전 (09/12),"3,992",1개월전,"3,767",1년전,"1,803",일평년,"1,532"
상추,적(100g),상품,100g,당일 (09/26),"2,723",214,04,1일전 (09/25),"2,537",1주일전 (09/19),"2,250",2주일전 (09/12),"2,250",1개월전,"2,031",1년전,"1,607",일평년,"1,527"
적상추,적(100g),상품,100g,당일 (09/26),"2,723",214,04,1일전 (09/25),"2,537",1주일전 (09/19),"2,250",2주일전 (09/12),"2,250",1개월전,"2,031",1년전,"1,607",일평년,"1,527"
청상추,청(100g),상품,100g,당일 (09/26),"2,433",214,04,1일전 (09/25),"2,554",1주일전 (09/19),"2,329",2주일전 (09/12),"2,329",1개월전,"2,441",1년전,"1,728",일평년,"1,592"
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (09/26),"5,231",215,04,1일전 (09/25),"5,179",1주일전 (09/19),"4,849",2주일전 (09/12),"4,369",1개월전,"4,975",1년전,"3,727",일평년,"3,529"
수박,수박(1개),상품,1개,당일 (09/26),-,221,04,1일전 (09/25),-,1주일전 (09/19),"26,000",2주일전 (09/12),"28,500",1개월전,"31,024",1년전,"26,123",일평년,"21,876"
참외,참외(10개),상품,10개,당일 (09/26),-,222,04,1일전 (09/25),-,1주일전 (09/19),"15,500",2주일전 (09/12),"24,786",1개월전,"22,520",1년전,"31,690",일평년,"27,333"
오이,가시계통(10개),상품,10개,당일 (09/26),"16,600",223,04,1일전 (09/25),"16,600",1주일전 (09/19),"14,367",2주일전 (09/12),"15,500",1개월전,"13,999",1년전,"12,890",일평년,"11,467"
가시오이,가시계통(10개),상품,10개,당일 (09/26),"16,600",223,04,1일전 (09/25),"16,600",1주일전 (09/19),"14,367",2주일전 (09/12),"15,500",1개월전,"13,999",1년전,"12,890",일평년,"11,467"
다다기오이,다다기계통(10개),상품,10개,당일 (09/26),"15,856",223,04,1일전 (09/25),"14,644",1주일전 (09/19),"12,951",2주일전 (09/12),"12,111",1개월전,"13,615",1년전,"11,709",일평년,"10,318"
취청오이,취청(10개),상품,10개,당일 (09/26),"18,950",223,04,1일전 (09/25),"18,429",1주일전 (09/19),"16,271",2주일전 (09/12),"16,371",1개월전,"14,846",1년전,"14,415",일평년,"12,015"
애호박,애호박(1개),상품,1개,당일 (09/26),"2,433",224,04,1일전 (09/25),"2,260",1주일전 (09/19),"2,291",2주일전 (09/12),"2,077",1개월전,"1,731",1년전,"1,933",일평년,"1,772"
쥬키니,쥬키니(1개),상품,1개,당일 (09/26),"2,365",224,04,1일전 (09/25),"2,365",1주일전 (09/19),"2,365",2주일전 (09/12),"2,365",1개월전,"1,832",1년전,"2,274",일평년,"2,311"
토마토,토마토(1kg),상품,1kg,당일 (09/26),"8,460",225,04,1일전 (09/25),"8,461",1주일전 (09/19),"9,618",2주일전 (09/12),"8,934",1개월전,"6,296",1년전,"8,630",일평년,"6,722"
무,고랭지(1개),상품,1개,당일 (09/26),"3,704",231,04,1일전 (09/25),"4,063",1주일전 (09/19),"3,803",2주일전 (09/12),"3,547",1개월전,"3,868",1년전,"2,350",일평년,"2,745"
당근,무세척(1kg),상품,1kg,당일 (09/26),"7,350",232,04,1일전 (09/25),"7,728",1주일전 (09/19),"7,243",2주일전 (09/12),"7,188",1개월전,"6,812",1년전,"6,273",일평년,"4,776"
열무,열무(1kg),상품,1kg,당일 (09/26),"5,261",233,04,1일전 (09/25),"5,088",1주일전 (09/19),"4,760",2주일전 (09/12),"4,227",1개월전,"4,973",1년전,"3,760",일평년,"3,509"
건고추,화건(600g),상품,600g,당일 (09/26),"19,960",241,04,1일전 (09/25),"20,760",1주일전 (09/19),"21,233",2주일전 (09/12),"21,233",1개월전,"18,870",1년전,"18,669",일평년,"16,958"
풋고추,풋고추(녹광 등)(100g),상품,100g,당일 (09/26),"2,102",242,04,1일전 (09/25),"2,098",1주일전 (09/19),"2,104",2주일전 (09/12),"2,103",1개월전,"2,016",1년전,"1,847",일평년,"1,498"
고추,풋고추(녹광 등)(100g),상품,100g,당일 (09/26),"2,102",242,04,1일전 (09/25),"2,098",1주일전 (09/19),"2,104",2주일전 (09/12),"2,103",1개월전,"2,016",1년전,"1,847",일평년,"1,498"
꽈리고추,꽈리고추(100g),상품,100g,당일 (09/26),"1,997",242,04,1일전 (09/25),"2,146",1주일전 (09/19),"2,579",2주일전 (09/12),"2,642",1개월전,"1,777",1년전,"1,761",일평년,"1,678"
청양고추,청양고추(100g),상품,100g,당일 (09/26),"1,823",242,04,1일전 (09/25),"1,918",1주일전 (09/19),"2,009",2주일전 (09/12),"1,646",1개월전,"1,474",1년전,"1,591",일평년,"1,311"
오이고추,오이맛고추(100g),상품,100g,당일 (09/26),"1,552",242,04,1일전 (09/25),"1,622",1주일전 (09/19),"1,707",2주일전 (09/12),"1,489",1개월전,"1,521",1년전,"1,332",일평년,"1,200"
붉은고추,붉은고추(100g),상품,100g,당일 (09/26),"2,975",243,04,1일전 (09/25),"2,657",1주일전 (09/19),"2,346",2주일전 (09/12),"2,186",1개월전,"1,871",1년전,"2,255",일평년,"1,586"
양파,양파(1kg),상품,1kg,당일 (09/26),"2,099",245,04,1일전 (09/25),"2,198",1주일전 (09/19),"2,236",2주일전 (09/12),"2,139",1개월전,"1,954",1년전,"2,075",일평년,"2,139"
대파,대파(1kg),상품,1kg,당일 (09/26),"3,524",246,04,1일전 (09/25),"3,556",1주일전 (09/19),"3,480",2주일전 (09/12),"3,404",1개월전,"3,009",1년전,"3,499",일평년,"3,254"
쪽파,쪽파(1kg),상품,1kg,당일 (09/26),"13,287",246,04,1일전 (09/25),"12,630",1주일전 (09/19),"13,277",2주일전 (09/12),"15,000",1개월전,"12,875",1년전,"8,603",일평년,"8,940"
생강,국산(1kg),상품,1kg,당일 (09/26),"17,538",247,04,1일전 (09/25),"16,925",1주일전 (09/19),"16,925",2주일전 (09/12),"16,925",1개월전,"15,935",1년전,"19,817",일평년,"14,917"
고춧가루,국산(1kg),상품,1kg,당일 (09/26),"38,333",248,04,1일전 (09/25),"37,889",1주일전 (09/19),"37,889",2주일전 (09/12),"36,922",1개월전,"35,141",1년전,"36,963",일평년,"32,749"
미나리,미나리(100g),상품,100g,당일 (09/26),"2,330",252,04,1일전 (09/25),"2,328",1주일전 (09/19),"2,270",2주일전 (09/12),"2,301",1개월전,"1,919",1년전,"1,932",일평년,"1,006"
깻잎,깻잎(100g),상품,100g,당일 (09/26),"3,806",253,04,1일전 (09/25),"3,777",1주일전 (09/19),"4,298",2주일전 (09/12),"3,838",1개월전,"3,031",1년전,"3,101",일평년,"2,936"
피망,청(100g),상품,100g,당일 (09/26),"1,637",255,04,1일전 (09/25),"1,637",1주일전 (09/19),"1,554",2주일전 (09/12),"1,373",1개월전,"1,141",1년전,"1,492",일평년,"1,508"
파프리카,파프리카(200g),상품,200g,당일 (09/26),"2,396",256,04,1일전 (09/25),"2,469",1주일전 (09/19),"2,411",2주일전 (09/12),"2,449",1개월전,"2,221",1년전,"2,235",일평년,"2,242"
멜론,멜론(1개),상품,1개,당일 (09/26),"9,927",257,04,1일전 (09/25),"9,664",1주일전 (09/19),"9,700",2주일전 (09/12),"9,428",1개월전,"9,615",1년전,"11,953",일평년,"10,331"
알배기배추,알배기배추(1포기),상품,1포기,당일 (09/26),"6,260",279,04,1일전 (09/25),"6,190",1주일전 (09/19),"6,132",2주일전 (09/12),"6,132",1개월전,"4,961",1년전,"4,503",일평년,"4,503"
브로콜리,브로콜리(국산)(1개),상품,1개,당일 (09/26),"4,825",280,04,1일전 (09/25),"4,446",1주일전 (09/19),"4,150",2주일전 (09/12),"4,050",1개월전,"3,170",1년전,"3,788",일평년,"3,788"
방울토마토,방울토마토(1kg),상품,1kg,당일 (09/26),"10,805",422,04,1일전 (09/25),"9,537",1주일전 (09/19),"10,557",2주일전 (09/12),"10,497",1개월전,"9,719",1년전,"11,844",일평년,"9,469"
대추방울토마토,대추방울토마토(1kg),상품,1kg,당일 (09/26),"12,844",422,04,1일전 (09/25),"12,611",1주일전 (09/19),"12,312",2주일전 (09/12),"11,680",1개월전,"9,094",1년전,"14,800",일평년,"10,781"
마늘,난지(대서)(10kg),상품,10kg,당일 (09/26),"47,600",244,04,1일전 (09/25),"47,600",1주일전 (09/19),"47,600",2주일전 (09/12),"47,600",1개월전,"49,298",1년전,"43,250",일평년,"55,435"
참깨,백색(국산)(500g),상품,500g,당일 (09/26),"19,933",312,04,1일전 (09/25),"19,933",1주일전 (09/19),"19,933",2주일전 (09/12),"19,933",1개월전,"17,195",1년전,"16,886",일평년,"16,659"
땅콩,국산(100g),상품,100g,당일 (09/26),"3,773",314,04,1일전 (09/25),"3,773",1주일전 (09/19),"3,773",2주일전 (09/12),"3,773",1개월전,"3,690",1년전,"2,836",일평년,"2,694"
느타리버섯,느타리버섯(100g),상품,100g,당일 (09/26),"1,713",315,04,1일전 (09/25),"1,955",1주일전 (09/19),"2,070",2주일전 (09/12),"1,950",1개월전,"1,083",1년전,"1,241",일평년,"1,160"
애느타리버섯,애느타리버섯(100g),상품,100g,당일 (09/26),587,315,04,1일전 (09/25),632,1주일전 (09/19),790,2주일전 (09/12),707,1개월전,594,1년전,699,일평년,597
팽이버섯,팽이버섯(150g),상품,150g,당일 (09/26),564,316,04,1일전 (09/25),602,1주일전 (09/19),584,2주일전 (09/12),582,1개월전,511,1년전,647,일평년,604
새송이버섯,새송이버섯(100g),상품,100g,당일 (09/26),694,317,04,1일전 (09/25),725,1주일전 (09/19),713,2주일전 (09/12),745,1개월전,576,1년전,645,일평년,588
호두,수입(100g),중품,100g,당일 (09/26),"1,596",318,05,1일전 (09/25),"1,596",1주일전 (09/19),"1,736",2주일전 (09/12),"1,736",1개월전,"1,549",1년전,"1,512",일평년,"1,605"
아몬드,수입(100g),중품,100g,당일 (09/26),"1,638",319,05,1일전 (09/25),"1,711",1주일전 (09/19),"1,711",2주일전 (09/12),"1,711",1개월전,"1,602",1년전,"1,494",일평년,"1,530"
들깨,국산(22.5kg),상품,22.5kg,당일 (09/26),"271,000",313,04,1일전 (09/25),"271,000",1주일전 (09/19),"271,000",2주일전 (09/12),"271,000",1개월전,"266,300",1년전,"286,400",일평년,"295,357"
사과,홍로(10개),상품,10개,당일 (09/26),"24,938",411,04,1일전 (09/25),"25,075",1주일전 (09/19),"24,086",2주일전 (09/12),"22,371",1개월전,"27,702",1년전,"32,530",일평년,"28,018"
배,신고(10개),상품,10개,당일 (09/26),"32,578",412,04,1일전 (09/25),"35,056",1주일전 (09/19),"29,667",2주일전 (09/12),"31,633",1개월전,-,1년전,"34,655",일평년,"35,608"
복숭아,백도(10개),상품,10개,당일 (09/26),-,413,04,1일전 (09/25),"21,200",1주일전 (09/19),"28,200",2주일전 (09/12),"23,320",1개월전,"22,697",1년전,-,일평년,-
캠벨얼리,캠벨얼리(1kg),L과,1kg,당일 (09/26),"10,373",414,24,1일전 (09/25),"10,371",1주일전 (09/19),"10,333",2주일전 (09/12),"10,361",1개월전,"11,115",1년전,"10,289",일평년,"7,756"
거봉,거봉(2kg),L과,2kg,당일 (09/26),"22,500",414,24,1일전 (09/25),"22,033",1주일전 (09/19),"22,789",2주일전 (09/12),"22,889",1개월전,"22,957",1년전,"26,320",일평년,"26,320"
머루포도,MBA(1kg),L과,1kg,당일 (09/26),"6,448",414,24,1일전 (09/25),"6,986",1주일전 (09/19),"7,653",2주일전 (09/12),"7,429",1개월전,-,1년전,"7,236",일평년,"7,236"
샤인머스켓,샤인머스켓(2kg),L과,2kg,당일 (09/26),"20,522",414,24,1일전 (09/25),"21,922",1주일전 (09/19),"21,989",2주일전 (09/12),"22,433",1개월전,"26,148",1년전,"26,461",일평년,"36,164"
바나나,수입(100g),상품,100g,당일 (09/26),328,418,04,1일전 (09/25),340,1주일전 (09/19),336,2주일전 (09/12),341,1개월전,309,1년전,332,일평년,308
파인애플,수입(1개),상품,1개,당일 (09/26),"7,820",420,04,1일전 (09/25),"7,820",1주일전 (09/19),"7,820",2주일전 (09/12),"7,820",1개월전,"7,129",1년전,"7,964",일평년,"6,318"
오렌지,네이블 호주(10개),중품,10개,당일 (09/26),"12,833",421,05,1일전 (09/25),"13,350",1주일전 (09/19),"13,350",2주일전 (09/12),"13,800",1개월전,"12,823",1년전,-,일평년,"10,899"
레몬,수입(10개),상품,10개,당일 (09/26),"11,032",424,04,1일전 (09/25),"11,032",1주일전 (09/19),"11,805",2주일전 (09/12),"11,805",1개월전,"10,912",1년전,"9,885",일평년,"9,716"
체리,수입(100g),상품,100g,당일 (09/26),"3,530",425,04,1일전 (09/25),"3,530",1주일전 (09/19),"3,353",2주일전 (09/12),"3,245",1개월전,"2,489",1년전,"3,064",일평년,"3,064"
망고,수입(1개),상품,1개,당일 (09/26),"7,240",428,04,1일전 (09/25),"7,490",1주일전 (09/19),"6,905",2주일전 (09/12),"7,405",1개월전,"7,453",1년전,"7,559",일평년,"7,402"
아보카도,수입(1개),상품,1개,당일 (09/26),"2,341",430,04,1일전 (09/25),"2,256",1주일전 (09/19),"2,209",2주일전 (09/12),"2,209",1개월전,"1,900",1년전,"1,666",일평년,"1,818"
소_안심,안심,1++등급,100g,당일 (09/26),"13,403",4301,01,1일전 (09/25),"13,310",1주일전 (09/19),"13,327",2주일전 (09/12),"13,396",1개월전,"13,354",1년전,"13,822",일평년,"14,738"
소_등심,등심,1++등급,100g,당일 (09/26),"12,077",4301,01,1일전 (09/25),"12,043",1주일전 (09/19),"12,178",2주일전 (09/12),"11,924",1개월전,"11,987",1년전,"12,927",일평년,"13,401"
설도,설도,1++등급,100g,당일 (09/26),"4,109",4301,01,1일전 (09/25),"4,115",1주일전 (09/19),"4,086",2주일전 (09/12),"4,083",1개월전,"4,103",1년전,"4,242",일평년,"4,625"
소_양지,양지,1++등급,100g,당일 (09/26),"5,184",4301,01,1일전 (09/25),"5,159",1주일전 (09/19),"5,339",2주일전 (09/12),"5,312",1개월전,"5,329",1년전,"5,085",일평년,"5,897"
소_갈비,갈비,1++등급,100g,당일 (09/26),"8,952",4301,01,1일전 (09/25),"8,850",1주일전 (09/19),"8,026",2주일전 (09/12),"7,898",1개월전,"8,565",1년전,"8,732",일평년,"8,488"
돼지_앞다리살,앞다리,앞다리,100g,당일 (09/26),"1,489",4304,00,1일전 (09/25),"1,495",1주일전 (09/19),"1,483",2주일전 (09/12),"1,474",1개월전,"1,447",1년전,"1,412",일평년,"1,396"
돼지_삼겹살,삼겹살,삼겹살,100g,당일 (09/26),"2,761",4304,00,1일전 (09/25),"2,770",1주일전 (09/19),"2,719",2주일전 (09/12),"2,645",1개월전,"2,591",1년전,"2,666",일평년,"2,500"
돼지_갈비,갈비,갈비,100g,당일 (09/26),"1,516",4304,00,1일전 (09/25),"1,524",1주일전 (09/19),"1,484",2주일전 (09/12),"1,468",1개월전,"1,404",1년전,"1,437",일평년,"1,475"
돼지_목심,목심,목심,100g,당일 (09/26),"2,588",4304,00,1일전 (09/25),"2,595",1주일전 (09/19),"2,573",2주일전 (09/12),"2,558",1개월전,"2,423",1년전,"2,495",일평년,"2,553"
닭,육계(kg),육계(kg),1kg,당일 (09/26),"5,921",9901,00,1일전 (09/25),"5,940",1주일전 (09/19),"5,582",2주일전 (09/12),"5,655",1개월전,"6,019",1년전,"6,058",일평년,"5,413"
