index,종류별,상황별,재료별,방법별,글 제목,레시피이름,레시피이미지,조회수,조리시간,난이도,인분,재료,소개글,조리순서
159503,샐러드,다이어트,채소류,비빔,어린잎 도토리묵샐러드 저염식으로 딱좋아~,도토리묵샐러드,https://recipe1.ezmember.co.kr/cache/recipe/2019/02/14/c79e541fb4fb9e314ed3b089e9c7cac91.jpg,"9,876",15분 이내,아무나,2인분,"[('도토리묵', '300g'), ('홍고추', '1/2쪽'), ('어린잎채소', '60g'), ('조림간장', '1.5큰술'), ('매실청', '1큰술'), ('통깨', '1큰술'), ('참기름', '1/2큰술')]","어린잎과 도토리묵으로 샐러드 간단하게
만들어 보세요 자극적이지 않아 저염식으로 
좋아요","[{'step_number': 1, 'description': '어린잎 채소를 준비하시고 \n찬물에 한번 씻어 물기를 빼주세요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/02/14/304bf4aa125c8f060b602895f20854b31.jpg'}, {'step_number': 2, 'description': '도토리묵은 먹기좋은 크기로 \n잘라서 뜨거운물에 5초간 \n데쳐주세요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/02/14/411f78c6b28df17d54ab9a77b08e862c1.jpg'}, {'step_number': 3, 'description': '건져내서 찬물에 씻어주세요\n한번 데쳐주셔야 뻣뻣하지 않고 반으로 접어도 부러지지 않고 탱글탱글한 식감이 생겨요\n채반에서 물기를 빼주세요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/02/14/7ca34bd27fac447f418b0b5595881a741.jpg'}, {'step_number': 4, 'description': '홍고추는 1/2쪽을 씨를 제거후\n작게 다져주세요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/02/14/bf705ae54e8198de7ff9eeeae3c2da841.jpg'}, {'step_number': 5, 'description': '조림간장/매실청/참기름과 \n홍고추 다진것을 넣어 드레싱\n소스를 만들어 주세요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/02/14/945500a641380c7cd15fdb9878034b271.jpg'}, {'step_number': 6, 'description': '물기를 뺀 어린잎채소를 \n접시에 가운데를 비우고 \n깔아주세요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/02/14/a40ed4e7a4c715fa7444a6a26aec57051.jpg'}, {'step_number': 7, 'description': '그위에 데쳐놓으신 도토리묵을\n넣어주세요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/02/14/45b2742c90a6989c4c621532388550c01.jpg'}, {'step_number': 8, 'description': '통깨를 곱게 갈아서 뿌려주시고 드레싱소스를 뿌리시면 어린잎 도토리묵샐러드 완성이에요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/02/14/619ba0de0f55bbc93b2f7f768cabf91a1.jpg'}]"
159504,샐러드,다이어트,채소류,비빔,(KFC 콘샐러드)스위트콘 캔옥수수 간단 반찬 요리 레시피,콘샐러드,https://recipe1.ezmember.co.kr/cache/recipe/2019/11/20/ebb57f76aae7e06ded182c36cc84d0fd1.jpg,"33,069",10분 이내,아무나,2인분,"[('스위트콘', '1개'), ('양파', '1/2개'), ('파프리카', '1/2개'), ('설탕', '1/2스푼'), ('마요네즈', '3스푼'), ('식초', '1스푼')]",KFC에서 파는 콘샐러드는 양이 적어 만들어봤어욤:),"[{'step_number': 1, 'description': '양파와 파프리카는 옥수수 크기로 잘게 잘라 주고\n스위트콘은 채반에 받쳐 국물을 제거 합니다', 'image_url': None}, {'step_number': 2, 'description': '그릇에 옥수수와 자른야채를 넣고 마요네즈,식초,설탕을 분량대로 넣고 섞어 주면 완성 입니다', 'image_url': None}, {'step_number': 3, 'description': '소금,후추는 기호에 맞게 1꼬집 추가해도 됩니다', 'image_url': None}]"
159505,샐러드,다이어트,채소류,비빔,달콤촉촉 고구마 샐러드 : 쉽고 맛있는 초간단 다이어트 레시피,고구마샐러드,https://recipe1.ezmember.co.kr/cache/recipe/2020/11/10/639bd3c310fcb284276a52323fc979281.jpg,"12,512",5분 이내,아무나,2인분,"[('고구마', '7~8개'), ('마요네즈', '2밥숟갈'), ('플레인요거트', '1밥숟갈'), ('조청 /꿀', '1밥숟갈'), ('견과류', '약간')]","한입 고구마를 한가득 쪄놓으니 많이 남기게 되더라구요~
그럴 때 촉촉하고 달콤한 샐러드로 변신시켜 다용도로 활용하면 딱이랍니다:)","[{'step_number': 1, 'description': '찐 고구마, 마요네즈, 플레인요거트, 꿀(조청)을 준비해주세요.참고로 저는 한입 호박고구마로 준비했습니다^^', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/11/10/3769b054f02f2771349d471e163f73e71.jpg'}, {'step_number': 2, 'description': '고구마를 잘 으깨주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/11/10/54a18472ba314afd169e9eb0770770cc1.jpg'}, {'step_number': 3, 'description': '마요네즈, 플레인요거트, 꿀(조청)을 넣고 잘 섞어주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/11/10/3a04a9d6f716c4d1549957e20b7ceab61.jpg'}, {'step_number': 4, 'description': '취향에 따라 견과류, 건과일 등을 곁들여 맛있게 드세요. \n샐러드만 드셔도 맛있고 식빵에 샌드해서 드셔도 맛있습니다^^', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/11/10/cf80f306357b86dc30505ff132d85e521.jpg'}]"
159506,샐러드,다이어트,채소류,비빔,새우닭가슴살샐러드,새우닭가슴살샐러드,https://recipe1.ezmember.co.kr/cache/recipe/2018/06/11/507c668ebf62f1555842b23376592a3e1.jpg,"10,167",30분 이내,아무나,1인분,"[('닭가슴살                                                                                 120g정도', '1개'), ('양파', '1/2개'), ('오이', '1개'), ('새우', '10마리'), ('실곤약', '200g'), ('소금', '1T'), ('통마늘', '5톨'), ('후춧가루', '조금'), ('연겨자', '1.5T'), ('설탕', '1T'), ('다진마늘', '1T'), ('마요네즈', '4T'), ('식초', '3T'), ('물', '1T'), ('참깨', '0.5T'), ('후춧가루', '조금')]",다이어트하는 오빠를위해 만들게되었습니다,"[{'step_number': 1, 'description': '물에 통마늘과 후춧가루 닭가슴살을넣고 10분정도 익혀준뒤 그릇에담아 식혀주세요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/11/dad2cfa0f6c8f68322029bd9a90549111.jpg'}, {'step_number': 2, 'description': '오이는 깨끗이 씻어준뒤 껍질째 얇게 썰어 소금에 절여주세요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/11/11c732d1147e9a7c6f84054013eced241.jpg'}, {'step_number': 3, 'description': '양파도 얇게 채썬뒤 매운기가 빠지도록 찬물에 5분정도 담가놔주세요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/11/c8be9119eae55a68051d4ff12b9a6d9f1.jpg'}, {'step_number': 4, 'description': '닭가슴살이 식으면 살을 잘게 찢어주세요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/11/78d2e11d37c72b9222c70356c23049d21.jpg'}, {'step_number': 5, 'description': '오이가 어느정도 절여진것같으면 찬물에헹궈서 물기를 꼬옥 짜주세요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/11/3b77245af06470a233cc53d8a3a996651.jpg'}, {'step_number': 6, 'description': '양파는 채에받쳐 물기를 빼주세요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/11/aa109f5e48a8df049fbbfa4596948e3e1.jpg'}, {'step_number': 7, 'description': '새우는 물에데쳐 껍질을 깐뒤 양파,오이,닭가슴살과 같이 접시에 담아주세요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/11/ef5212312380b6182980ec3b74e42be41.jpg'}, {'step_number': 8, 'description': '실곤약은 끓는물에 살짝 데친다음 찬물에 헹궈 물기를 빼준뒤 올려주세요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/11/4cef749e41ea9b6bc7394935049c83611.jpg'}, {'step_number': 9, 'description': '겨자소스를 레시피대로 만들어주세요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/11/b432f2b01a280bd0cb669b8e0a222a111.jpg'}, {'step_number': 10, 'description': '새우닭가슴살샐러드 위에 겨자소스를 곁들여서 비벼드세요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/11/c572c242fc52f5a219267c6ea2df30a21.jpg'}]"
159507,샐러드,다이어트,채소류,비빔,양상추 웨지 샐러드,양상추샐러드,https://recipe1.ezmember.co.kr/cache/recipe/2015/07/23/b8aed2cf6a48740156cc68582466aab71.jpg,"24,974",15분 이내,아무나,1인분,"[('양상추', ''), ('두부', '100g'), ('두유                                                                                혹은 우유', '4T'), ('소금', '1/2t'), ('식초', '1.5~2T'), ('유자청', '1.5~2T'), ('깨', '1/2T')]",양상추를 혼자서 반 통이나 먹게 만든 마요네즈에 뒤지지 않는 마성의 유자두부 드레싱! 논오일 두부 드레싱 만들기,"[{'step_number': 1, 'description': '우선 양상추는 웨지로 썰어서 찬물에 여러 번 씻어주세요. 심지를 먼저 잘라내면 씻을 때 양상추가 낱장으로 분리될 수 있으니 심지는 접시에 올리기 전에 자르세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/23/b183f9120a81b5aa2c217b1c3045f7ce1.jpg'}, {'step_number': 2, 'description': '두부 100g, 두유(혹은 우유) 4T, 소금 1/2t, 식초 1.5~2T, 유자청 1.5~2T, 깨 1/2T를 모두 블렌더에 넣고 갈면 됩니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/23/402447c05b1f121186121c75a026d32f1.jpg'}, {'step_number': 3, 'description': '덩어리가 없이 곱게 갈아주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/23/4545021c91a4a9a8183a8066f68910af1.jpg'}, {'step_number': 4, 'description': '씻어서 물기를 턴 양상추는 접시 위에 올려주세요. 저는 식사용 샐러드라 반 통을 올렸는데 식사용이 아니라면 1인당 1/4포기 정도면 적당할 것 같아요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/23/54235ffcbe144cd305bfa4d7a2cf60601.jpg'}, {'step_number': 5, 'description': '드레싱을 부어줍니다. 견과류를 뿌리면 맛도 비주얼도 더 좋겠죠!', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/23/ab6d4763d2ea4a855998ae9dd5da5af21.jpg'}]"
159508,샐러드,다이어트,채소류,비빔,콥샐러드,콥샐러드,https://recipe1.ezmember.co.kr/cache/recipe/2016/07/21/27ea257f54eb0fb72418009f42c998f41.png,"72,511",30분 이내,초급,3인분,"[('베이컨', '3줄'), ('베이비 채소', '1줌'), ('아보카도', '1개'), ('토마토', '1개'), ('삶은 달걀', '2개'), ('옥수수 통조림', '1통'), ('블랙 올리브', '10-15개'), ('아몬드 슬라이스', '1줌'), ('모차렐라치즈', '1줌'), ('플레인 요구르트', '1통'), ('마요네즈', '3T'), ('레몬즙', '2T'), ('꿀', '1T'), ('파슬리', '1t'), ('소금', '1/2t'), ('후추', '톡톡')]","언제 한번 나도 냉장고 파먹기 해야지~ 
생각만 하다가 시들해져가는 냉장고속 
베이비 채소와 토마토, 유통기한에 임박한 베이컨을 
보는 순간 콥샐러드가 딱 떠오는것!
렌치 드레싱 만 만들면 나머지는 깍둑썰기하는
작은 노동일뿐 어려운 게 하나도 없었어요.
렌치 드레싱조차 아주 간단하고 초보적인 드레싱 임.
스킬에 비해 굉장한 비주얼을 자랑하는 콥샐러드는 
할리우드 스타인 밥 콥이 어느 레스토랑을 방문했는데 
시각이 너무 늦어 주문할만한 것이 없자,
주방장이 냉장고에 있는 재료들을 이것저것 모아
샐러드 하나를 내오게 된 것이 시작이라고 합니다.
밥 콥은 이 맛에 감동받고 후에도 종종 이 식당에 들러
시켜 먹었다고 해요.
밥 콥만을 위해 만들었던 이 샐러드는 나중에 콥 샐러드 라고 
불리게 되었다고 전설~ㅎ

할리우드 스타가 감동한 샐러드
어떤 맛일지 궁금하여 만들어 보았습니다.
시작할게요.^^","[{'step_number': 1, 'description': '렌치 드레싱은 계량해 놓은 모든 재료를 볼에 넣고 섞어주기만 하면 돼요.\n소금은 1/2t, 후추는 톡톡톡 세 번, 파슬리는 보기 좋게 뿌려주시면 된답니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/21/d7468937d47daa41465ae56802ab26dd1.jpg'}, {'step_number': 2, 'description': '이렇게 만든 드레싱은 2번 정도 사용할 수 있는 양이에요. 냉장보관해서 1주일은 드실 수 있어요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/21/59a8b7ef5139dc3434f293fc4f97f99f1.jpg'}, {'step_number': 3, 'description': '채소는 흐르는 물에 잘 씻어 찬물에 담가두었다가 파릇파릇 물을 머금고 살아나면 체에 밭쳐 물기를 빼줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/21/42e8ac610f603f6c7078f3db4cb2bb3c1.jpg'}, {'step_number': 4, 'description': '옥수수도 마찬가지로 체에 밭쳐 물기를 빼주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/21/4cc149a0feb44e0cbc4fbdf61a2e78b01.jpg'}, {'step_number': 5, 'description': '베이컨은 기름 없이 팬에 바삭하게 구워 키친타월로 기름을 제거하고, 재료들의 크기에 맞게 썰어줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/21/751b4013806d4cb0ec6354d2df9625ab1.jpg'}, {'step_number': 6, 'description': '토마토는 안에 씨를 제거해 주시면 좋아요. 깍뚝썰기 해 주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/21/8485dc1f710e2dc0713d187635f6461d1.jpg'}, {'step_number': 7, 'description': '삶은 계란과,', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/21/aea5ab945a34b6a610d52fdccd2638011.jpg'}, {'step_number': 8, 'description': '블랙 올리브도 크기를 맞춰 썰어 준비합니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/21/504d43afbb32cf65866f2dc4952c61d01.jpg'}, {'step_number': 9, 'description': '다음은 아보카도를 손질할게요.아보카도 손질법 레시피', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/21/cb5d76a7f4181a6a9ddc4407ad6bb8791.jpg'}, {'step_number': 10, 'description': '칼로 가운데 씨를 중심으로 반을 갈라 양손으로 아보카도를 잡고 비틀면서 분리하면 쉽게 분리돼요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/21/ee1fda047f559c2d43c3dee7dc1001a11.jpg'}, {'step_number': 11, 'description': '씨를 칼로 콕 찍어 빼주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/21/d9c65d08b1928a86cbea93d8f419a2511.jpg'}, {'step_number': 12, 'description': '껍질 제거 후 썰어도 무방하고 저는 껍질안에서 칼집을 내준 후 숟가락으로 퍼냈어요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/21/fa63630cb1cf616f4bba3cfb8e0e96231.jpg'}, {'step_number': 13, 'description': '이렇게 약간의 수고로움으로 재료 손질이 끝났네요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/21/669fb84fd5811b023d8e124dde542cf91.jpg'}, {'step_number': 14, 'description': '둥글고 넓은 접시가 있다면 금상첨화.\n재료들을 일렬로 색감을 고려하며 진열합니다.\n끝 -', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/21/6432c5f5cee895693be73f04c8e49da41.jpg'}]"
159509,샐러드,다이어트,채소류,비빔,토마토 두부 샐러드 만드는법,토마토두부샐러드,https://recipe1.ezmember.co.kr/cache/recipe/2017/07/13/6126f94940b3bc0206fadc485223abe21.jpg,"5,632",15분 이내,아무나,3인분,"[('잘 익은 토마토 큰거', '1개'), ('양파', '1/2개'), ('두부', '1/4모'), ('양상추', '4장'), ('무순', '2'), ('그린올리브', ''), ('발사믹올리브드레싱', '')]",무더운 여름 날씨에 입맛 없을때 한끼 식사로 좋아 요즘 즐겨 먹는 샐러드랍니다. 얼마 전 방송에서 생채소를 먹으면 건강에 아주 좋다고 하더라고요~ ​ 채소나 과일이 풍성하고 싸니까 제철일때 열심히 먹어두면 좋겠지요~ ​ 워낙 간단하고 쉬운 레시피라 초스피드 초간단으로 만들 수 있고 건강과 다이어트 음식으로 아주 그만이랍니다. 재료 준비만 얼른 해서 후딱 담아보자고요~,"[{'step_number': 1, 'description': '무순과 양상추는 찬물에 씻어 물기를 잘 털어주고 양파는 슬라이스하고 토마토도 먹기 좋은 크기로 썰고 두부는 작게 깍둑썰기 해줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/07/13/2e4fd06685cc119a3b0131c04ac11f8d1.jpg'}, {'step_number': 2, 'description': '큰 접시에 준비한 재료들을 담아주면 각자 좋아하는 채소를 골라 담으면 좋답니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/07/13/fadbcde3992113c44e64eb5794a3d5731.jpg'}, {'step_number': 3, 'description': '발사믹 올리브 드레싱을 소스병에 담고 토마토와 두부를 좋아하니까 많이~ 일단 제가 먹을 한접시 보기 좋게 담아주었어요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/07/13/b860f5d3fa998f97fa98facf64d1f4251.jpg'}]"
159510,샐러드,다이어트,채소류,비빔,단호박 닭가슴살 샐러드,단호박닭가슴살샐러드,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/05/2e26f1d806744dfb4716afd76b88bd401.jpg,"12,913",15분 이내,초급,2인분,"[('상추', '가득'), ('단호박', '160g'), ('계란', '1개'), ('닭가슴살', '100g'), ('방울토마토', ''), ('올리브오일', '1/2'), ('발사믹식초', '1스푼'), ('레몬청', '1/2')]","샐러드, 샐러드~ 하면 거창하게 보이죠? 하나하나 뜯어보면 별거 없는데 모아두면 있어보이는 음식 중 하나인=ㅂ= 기본 야채를 제외하고는 본인 입맛대로 넣어 먹을 수 있어서 참 좋다는. 부재료도 내 마음~ 드레싱도 내 마음대로~ 그래도 비쥬얼이 살아있음.","[{'step_number': 1, 'description': '볼에 상추나 야채를 뜯고 드레싱을 둘러 섞어 줍니다. 먹기 전에 뿌려도 돼요. 저는 일부러 먼저 넣습니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/06/2d9bb7d964e6bc773f61ed70c7f8d9f91.jpg'}, {'step_number': 2, 'description': '상추와 드레싱을 잘 버물버물 하고, 큰 접시에 옮겨서 방울토마토, 계란을 올립니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/06/9b41efe6fde3688faeab7f96be93fb871.jpg'}, {'step_number': 3, 'description': '단호박과 닭가슴살을 올려주면 끝.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/06/aebed7323dbfc9a234a4e2ec3f2f7b801.jpg'}]"
159511,샐러드,다이어트,채소류,비빔,메밀샐러드(5분다이어트요리),메밀샐러드,https://recipe1.ezmember.co.kr/cache/recipe/2017/03/28/5c576e12065a18cef701b12c336f3cd11.jpg,"5,741",5분 이내,아무나,1인분,"[('양상추', '1/4통'), ('파프리카', '1/2개'), ('오리엔탈소스', '2~4스푼'), ('봉평촌 메밀국수                                                                                1인분', '100g')]","샐러드만 먹기 지겹고 배고프다면!
메밀면을 함께","[{'step_number': 1, 'description': '봉평촌 메밀국수 100g을 끓는물에서 3분정도 삶습니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/28/91530b8c27c396a61a260da4eca771571.jpg'}, {'step_number': 2, 'description': '메밀면이 잘 삶아지는 동안 준비한 야채를 손질해줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/28/6dd263a4a2c6152f77568a222f671b381.jpg'}, {'step_number': 3, 'description': '면을 다 삶으면 찬물에 헹군 후 야채와 한번에 담아 오리엔탈 소스를 붓습니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/28/13287b054ad7c3a97f0f4bb095f30d651.jpg'}]"
159512,샐러드,다이어트,채소류,비빔,[살 빠지는 레시피]502kcal 새싹견과류덮밥 만들기,새싹견과류덮밥,https://recipe1.ezmember.co.kr/cache/recipe/2023/04/27/5e165594619f5fca5a7f11b2f7b991701.jpg,238,30분 이내,초급,1인분,"[('새싹채소', '50g'), ('잔멸치', '30g'), ('통마늘', '4쪽'), ('견과류', '1줌'), ('잡곡밥', '100g'), ('간장', '1/2숟갈'), ('올리브유', '1숟갈')]",살 빠지는 레시피로 다이어트 중인 루나에요. 새싹채소는 다른 채소에 비해 비타민과 미네랄이 5~20배 정도 많습니다. 비빔밥으로도 많이 먹지만 견과류와 잔멸치로 소스를 만들어 얹어 덮밥으로 즐기면 영양적으로 완벽한 한 끼 식사 다이어트 식단이 됩니다. 만드는 법도 간단하니 브런치로 즐겨보아도 좋겠어요.,"[{'step_number': 1, 'description': '새싹채소는 흐르는 물에 3번 이상 씻어주세요! 채반에 밭쳐 물기를 빼줍니다. 새싹채소는 식물의 싹이나 눈, 발아한 지 일주일 정도 된 새싹을 말해요. 색깔 너무 이쁘죠?!? 색감이 이쁘니 사진을 엄청 찍었어요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2023/04/27/91fa7fdd52354a188780080ce5d485751.jpg'}, {'step_number': 2, 'description': '호두, 아몬드 등은 다지고 통마늘은 슬라이스해줍니다                    \n\n                        \n                            더채움 25구람 하루한줌견과 24봉(블루/핑크/골드)', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2023/04/27/3d592eb4ef6c36d0bd02fefc27d173b41.jpg'}, {'step_number': 3, 'description': '잔멸치는 잡내를 없애기 위해 마른 팬에 잔멸치를 넣고 눅눅한 느낌이 날아갈 때까지 살짝 볶아주고 볶은 후에는 체에 한번 털어주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2023/04/27/bd56c09125e74c3144a90bd5fcecc2ff1.jpg'}, {'step_number': 4, 'description': '적당히 열이 오른 팬에 올리브유 두르고 마늘부터 볶다가 잔멸치 넣고, 호두, 아몬드 등 견과류도 노릇하게 볶다가 간장을 넣고 볶아줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2023/04/27/fd69fb438e76052fee43735dfdef521a1.jpg'}, {'step_number': 5, 'description': '잡곡밥 위에 새싹을 둘러 주고 볶은 덮밥소스를 얹어 마무리하면 끝!', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2023/04/27/367b7604e4f517a19f4bcd443b6e660f1.jpg'}]"
